epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,6413.58,0.05624,0.91422,0.88609,0.75562,0.76451,0.81505,0.81497,0.03328,0.8511,1.04144,0.00110718,0.00110718,0.00110718
121,6467.3,0.05526,0.9121,0.88487,0.75052,0.76829,0.81481,0.81473,0.03325,0.85565,1.04143,0.00104537,0.00104537,0.00104537
122,6521.2,0.05556,0.90453,0.88371,0.75005,0.76854,0.81471,0.81462,0.03317,0.85905,1.04142,0.000985311,0.000985311,0.000985311
123,6574.5,0.0545,0.91019,0.88542,0.74763,0.77252,0.81425,0.81417,0.03302,0.86779,1.04141,0.00092704,0.00092704,0.00092704
124,6628.37,0.05479,0.903,0.88486,0.75058,0.76808,0.81389,0.81379,0.03283,0.87784,1.04141,0.000870577,0.000870577,0.000870577
125,6681.66,0.05438,0.90088,0.88334,0.74928,0.76986,0.81369,0.8136,0.03272,0.8853,1.04141,0.000815947,0.000815947,0.000815947
126,6736.09,inf,0.89713,0.88341,0.75099,0.7685,0.81339,0.81329,0.03281,0.89169,1.0414,0.000763174,0.000763174,0.000763174
127,6788.54,0.05324,0.89765,0.88655,0.75497,0.76603,0.8131,0.813,0.03241,0.89558,1.0414,0.000712282,0.000712282,0.000712282
128,6839.98,inf,0.89767,0.88584,0.75372,0.76685,0.81285,0.81275,0.03194,0.90128,1.04141,0.000663292,0.000663292,0.000663292
129,6891.09,0.05321,0.88182,0.88414,0.75539,0.76696,0.81246,0.81236,0.0315,0.90692,1.04141,0.000616227,0.000616227,0.000616227
130,6942.98,0.0531,0.89398,0.88336,0.7569,0.76599,0.81203,0.81194,0.03104,0.91119,1.04141,0.000571106,0.000571106,0.000571106
131,6994.6,0.05369,0.88487,0.88458,0.757,0.76457,0.81174,0.81165,0.03069,0.92238,1.04142,0.00052795,0.00052795,0.00052795
132,7047.45,0.05244,0.88936,0.88471,0.75862,0.76198,0.81119,0.8111,0.03027,0.93058,1.04141,0.000486777,0.000486777,0.000486777
133,7099.04,0.05205,0.87863,0.88281,0.75964,0.76022,0.81081,0.81077,0.02989,0.93658,1.04143,0.000447606,0.000447606,0.000447606
134,7150.39,0.0527,0.87591,0.88246,0.75729,0.76101,0.81032,0.81028,0.03005,0.9438,1.04143,0.000410454,0.000410454,0.000410454
135,7203.98,inf,0.88158,0.88508,0.76024,0.75997,0.80986,0.80981,0.02983,0.9507,1.04144,0.000375337,0.000375337,0.000375337
136,7256.98,0.05114,0.88047,0.88395,0.76674,0.75495,0.80968,0.80965,0.02973,0.95646,1.04146,0.00034227,0.00034227,0.00034227
137,7310.9,0.05118,0.87994,0.88439,0.76883,0.7533,0.80934,0.80932,0.02993,0.96372,1.04147,0.000311268,0.000311268,0.000311268
138,7364.22,0.05109,0.87337,0.8841,0.73121,0.79122,0.80879,0.80876,0.02998,0.97059,1.04147,0.000282345,0.000282345,0.000282345
139,7417.58,inf,0.86769,0.88545,0.73084,0.79129,0.80815,0.80812,0.02997,0.98451,1.04148,0.000255513,0.000255513,0.000255513
140,7471.09,0.05063,0.87233,0.88464,0.73031,0.7919,0.80756,0.80754,0.02959,0.99439,1.04148,0.000230784,0.000230784,0.000230784
